Дата,Рік,Квартал,Місяць,Назва_місяця,Продукт,Категорія,Регіон,Країна,Продажі,Кількість,Прибуток
2023-01-15,2023,1,1,Січень,Клавіатура,Аксесуари,Харків,Україна,90043,42,21690
2023-01-15,2023,1,1,Січень,Клавіатура,Аксесуари,Дніпро,Україна,25917,50,7444
2023-02-15,2023,1,2,Лютий,Ноутбук,Комп'ютери,Київ,Україна,33309,81,7241
2023-02-15,2023,1,2,Лютий,Ноутбук,Комп'ютери,Львів,Україна,84771,57,17430
2023-02-15,2023,1,2,Лютий,Ноутбук,Комп'ютери,Одеса,Україна,114238,97,28546
2023-02-15,2023,1,2,Лютий,Ноутбук,Комп'ютери,Харків,Україна,97769,95,27676
2023-02-15,2023,1,2,Лютий,Ноутбук,Комп'ютери,Дніпро,Україна,106282,56,27313
2023-02-15,2023,1,2,Лютий,Смартфон,Мобільні,Київ,Україна,85634,14,20054
2023-02-15,2023,1,2,Лютий,Смартфон,Мобільні,Львів,Україна,31570,23,7073
2023-02-15,2023,1,2,Лютий,Смартфон,Мобільні,Одеса,Україна,23705,24,3950
2023-02-15,2023,1,2,Лютий,Смартфон,Мобільні,Харків,Україна,50939,86,9182
2023-02-15,2023,1,2,Лютий,Смартфон,Мобільні,Дніпро,Україна,82141,61,19261
2023-02-15,2023,1,2,Лютий,Планшет,Мобільні,Київ,Україна,44747,32,10768
2023-02-15,2023,1,2,Лютий,Планшет,Мобільні,Львів,Україна,102319,52,18464
2023-02-15,2023,1,2,Лютий,Планшет,Мобільні,Одеса,Україна,88952,41,21333
2023-02-15,2023,1,2,Лютий,Планшет,Мобільні,Харків,Україна,49625,75,12091
2023-02-15,2023,1,2,Лютий,Планшет,Мобільні,Дніпро,Україна,73392,66,12170
2023-02-15,2023,1,2,Лютий,Навушники,Аксесуари,Київ,Україна,104606,93,29695
2023-02-15,2023,1,2,Лютий,Навушники,Аксесуари,Львів,Україна,49079,98,9702
2023-02-15,2023,1,2,Лютий,Навушники,Аксесуари,Одеса,Україна,51358,10,9459
2023-02-15,2023,1,2,Лютий,Навушники,Аксесуари,Харків,Україна,95467,86,26645
2023-02-15,2023,1,2,Лютий,Навушники,Аксесуари,Дніпро,Україна,91572,81,21071
2023-02-15,2023,1,2,Лютий,Монітор,Комп'ютери,Київ,Україна,27861,60,5305
2023-02-15,2023,1,2,Лютий,Монітор,Комп'ютери,Львів,Україна,101129,88,17722
2023-02-15,2023,1,2,Лютий,Монітор,Комп'ютери,Одеса,Україна,95131,97,24301
2023-02-15,2023,1,2,Лютий,Монітор,Комп'ютери,Харків,Україна,87267,71,25810
2023-02-15,2023,1,2,Лютий,Монітор,Комп'ютери,Дніпро,Україна,96206,21,18064
2023-02-15,2023,1,2,Лютий,Клавіатура,Аксесуари,Київ,Україна,51226,65,7967
2023-02-15,2023,1,2,Лютий,Клавіатура,Аксесуари,Львів,Україна,54830,11,12358
2023-02-15,2023,1,2,Лютий,Клавіатура,Аксесуари,Одеса,Україна,24466,10,4549
2023-02-15,2023,1,2,Лютий,Клавіатура,Аксесуари,Харків,Україна,83132,99,24760
2023-02-15,2023,1,2,Лютий,Клавіатура,Аксесуари,Дніпро,Україна,98237,77,15926
2023-03-15,2023,1,3,Березень,Ноутбук,Комп'ютери,Київ,Україна,39225,47,8047
2023-03-15,2023,1,3,Березень,Ноутбук,Комп'ютери,Львів,Україна,86499,79,18149
2023-03-15,2023,1,3,Березень,Ноутбук,Комп'ютери,Одеса,Україна,51205,82,10144
2023-03-15,2023,1,3,Березень,Ноутбук,Комп'ютери,Харків,Україна,85995,12,20521
2023-03-15,2023,1,3,Березень,Ноутбук,Комп'ютери,Дніпро,Україна,91500,45,13952
2023-03-15,2023,1,3,Березень,Смартфон,Мобільні,Київ,Україна,65704,28,13291
2023-03-15,2023,1,3,Березень,Смартфон,Мобільні,Львів,Україна,104724,61,30482
2023-03-15,2023,1,3,Березень,Смартфон,Мобільні,Одеса,Україна,109554,48,31826
2023-03-15,2023,1,3,Березень,Смартфон,Мобільні,Харків,Україна,69004,20,13880
2023-03-15,2023,1,3,Березень,Смартфон,Мобільні,Дніпро,Україна,71260,59,20573
2023-03-15,2023,1,3,Березень,Планшет,Мобільні,Київ,Україна,96855,16,24116
2023-03-15,2023,1,3,Березень,Планшет,Мобільні,Львів,Україна,43645,69,8254
2023-03-15,2023,1,3,Березень,Планшет,Мобільні,Одеса,Україна,61939,57,18260
2023-03-15,2023,1,3,Березень,Планшет,Мобільні,Харків,Україна,49118,46,13870
2023-03-15,2023,1,3,Березень,Планшет,Мобільні,Дніпро,Україна,111232,18,21337
2023-03-15,2023,1,3,Березень,Навушники,Аксесуари,Київ,Україна,75170,57,20822
2023-03-15,2023,1,3,Березень,Навушники,Аксесуари,Львів,Україна,29398,33,6193
2023-03-15,2023,1,3,Березень,Навушники,Аксесуари,Одеса,Україна,94848,33,26333
2023-03-15,2023,1,3,Березень,Навушники,Аксесуари,Харків,Україна,63253,45,18013
2023-03-15,2023,1,3,Березень,Навушники,Аксесуари,Дніпро,Україна,97520,98,24333
2023-03-15,2023,1,3,Березень,Монітор,Комп'ютери,Київ,Україна,106196,91,23664
2023-03-15,2023,1,3,Березень,Монітор,Комп'ютери,Львів,Україна,97362,70,17879
2023-03-15,2023,1,3,Березень,Монітор,Комп'ютери,Одеса,Україна,70160,42,15721
2023-03-15,2023,1,3,Березень,Монітор,Комп'ютери,Харків,Україна,28784,17,7984
2023-03-15,2023,1,3,Березень,Монітор,Комп'ютери,Дніпро,Україна,108325,42,25064
2023-03-15,2023,1,3,Березень,Клавіатура,Аксесуари,Київ,Україна,72981,95,13850
2023-03-15,2023,1,3,Березень,Клавіатура,Аксесуари,Львів,Україна,32271,39,9550
2023-03-15,2023,1,3,Березень,Клавіатура,Аксесуари,Одеса,Україна,28123,60,7981
2023-03-15,2023,1,3,Березень,Клавіатура,Аксесуари,Харків,Україна,47685,36,12837
2023-03-15,2023,1,3,Березень,Клавіатура,Аксесуари,Дніпро,Україна,88854,37,22243
2023-04-15,2023,2,4,Квітень,Ноутбук,Комп'ютери,Київ,Україна,30034,78,5542
2023-04-15,2023,2,4,Квітень,Ноутбук,Комп'ютери,Львів,Україна,110918,28,26154
2023-04-15,2023,2,4,Квітень,Ноутбук,Комп'ютери,Одеса,Україна,109980,53,32011
2023-04-15,2023,2,4,Квітень,Ноутбук,Комп'ютери,Харків,Україна,74479,55,21392
2023-04-15,2023,2,4,Квітень,Ноутбук,Комп'ютери,Дніпро,Україна,78841,46,22804
2023-04-15,2023,2,4,Квітень,Смартфон,Мобільні,Київ,Україна,23817,62,5617
2023-04-15,2023,2,4,Квітень,Смартфон,Мобільні,Львів,Україна,101171,72,19814
2023-04-15,2023,2,4,Квітень,Смартфон,Мобільні,Одеса,Україна,30622,42,6049
2023-04-15,2023,2,4,Квітень,Смартфон,Мобільні,Харків,Україна,54719,34,11447
2023-04-15,2023,2,4,Квітень,Смартфон,Мобільні,Дніпро,Україна,50556,67,14636
2023-04-15,2023,2,4,Квітень,Планшет,Мобільні,Київ,Україна,84335,33,15293
2023-04-15,2023,2,4,Квітень,Планшет,Мобільні,Львів,Україна,28173,95,5741
2023-04-15,2023,2,4,Квітень,Планшет,Мобільні,Одеса,Україна,90287,36,17542
2023-04-15,2023,2,4,Квітень,Планшет,Мобільні,Харків,Україна,76278,26,21151
2023-04-15,2023,2,4,Квітень,Планшет,Мобільні,Дніпро,Україна,115055,57,26798
2023-04-15,2023,2,4,Квітень,Навушники,Аксесуари,Київ,Україна,30269,35,8218
2023-04-15,2023,2,4,Квітень,Навушники,Аксесуари,Львів,Україна,58181,33,16697
2023-04-15,2023,2,4,Квітень,Навушники,Аксесуари,Одеса,Україна,105959,29,26224
2023-04-15,2023,2,4,Квітень,Навушники,Аксесуари,Харків,Україна,31271,25,4928
2023-04-15,2023,2,4,Квітень,Навушники,Аксесуари,Дніпро,Україна,88889,24,18341
2023-04-15,2023,2,4,Квітень,Монітор,Комп'ютери,Київ,Україна,115744,41,27401
2023-04-15,2023,2,4,Квітень,Монітор,Комп'ютери,Львів,Україна,85551,72,25432
2023-04-15,2023,2,4,Квітень,Монітор,Комп'ютери,Одеса,Україна,50068,67,13972
2023-04-15,2023,2,4,Квітень,Монітор,Комп'ютери,Харків,Україна,59861,61,9327
2023-04-15,2023,2,4,Квітень,Монітор,Комп'ютери,Дніпро,Україна,85651,63,19747
2023-04-15,2023,2,4,Квітень,Клавіатура,Аксесуари,Київ,Україна,46350,69,8452
2023-04-15,2023,2,4,Квітень,Клавіатура,Аксесуари,Львів,Україна,86841,56,22138
2023-04-15,2023,2,4,Квітень,Клавіатура,Аксесуари,Одеса,Україна,108656,61,18461
2023-04-15,2023,2,4,Квітень,Клавіатура,Аксесуари,Харків,Україна,43430,39,6782
2023-04-15,2023,2,4,Квітень,Клавіатура,Аксесуари,Дніпро,Україна,110101,72,23674
2023-05-15,2023,2,5,Травень,Ноутбук,Комп'ютери,Київ,Україна,50539,99,14878
2023-05-15,2023,2,5,Травень,Ноутбук,Комп'ютери,Львів,Україна,79189,18,20056
2023-05-15,2023,2,5,Травень,Ноутбук,Комп'ютери,Одеса,Україна,95278,10,20613
2023-05-15,2023,2,5,Травень,Ноутбук,Комп'ютери,Харків,Україна,72792,57,12915
2023-05-15,2023,2,5,Травень,Ноутбук,Комп'ютери,Дніпро,Україна,84211,10,24693
2023-05-15,2023,2,5,Травень,Смартфон,Мобільні,Київ,Україна,80544,73,18779
2023-05-15,2023,2,5,Травень,Смартфон,Мобільні,Львів,Україна,87601,76,16395
2023-05-15,2023,2,5,Травень,Смартфон,Мобільні,Одеса,Україна,95936,60,25296
2023-05-15,2023,2,5,Травень,Смартфон,Мобільні,Харків,Україна,89527,78,14693
2023-05-15,2023,2,5,Травень,Смартфон,Мобільні,Дніпро,Україна,78422,71,20040
2023-05-15,2023,2,5,Травень,Планшет,Мобільні,Київ,Україна,70310,99,18597
2023-05-15,2023,2,5,Травень,Планшет,Мобільні,Львів,Україна,91027,32,14310
2023-05-15,2023,2,5,Травень,Планшет,Мобільні,Одеса,Україна,109565,78,31007
2023-05-15,2023,2,5,Травень,Планшет,Мобільні,Харків,Україна,66173,19,16138
2023-05-15,2023,2,5,Травень,Планшет,Мобільні,Дніпро,Україна,32805,10,7574
2023-05-15,2023,2,5,Травень,Навушники,Аксесуари,Київ,Україна,40000,13,9695
2023-05-15,2023,2,5,Травень,Навушники,Аксесуари,Львів,Україна,85446,11,13156
2023-05-15,2023,2,5,Травень,Навушники,Аксесуари,Одеса,Україна,88979,93,21027
2023-05-15,2023,2,5,Травень,Навушники,Аксесуари,Харків,Україна,101605,44,25044
2023-05-15,2023,2,5,Травень,Навушники,Аксесуари,Дніпро,Україна,26400,70,6120
2023-05-15,2023,2,5,Травень,Монітор,Комп'ютери,Київ,Україна,64134,49,18329
2023-05-15,2023,2,5,Травень,Монітор,Комп'ютери,Львів,Україна,44840,22,8169
2023-05-15,2023,2,5,Травень,Монітор,Комп'ютери,Одеса,Україна,25710,11,4006
2023-05-15,2023,2,5,Травень,Монітор,Комп'ютери,Харків,Україна,52085,90,12935
2023-05-15,2023,2,5,Травень,Монітор,Комп'ютери,Дніпро,Україна,38835,99,7809
2023-05-15,2023,2,5,Травень,Клавіатура,Аксесуари,Київ,Україна,85203,16,14290
2023-05-15,2023,2,5,Травень,Клавіатура,Аксесуари,Львів,Україна,64364,84,18126
2023-05-15,2023,2,5,Травень,Клавіатура,Аксесуари,Одеса,Україна,58845,30,17367
2023-05-15,2023,2,5,Травень,Клавіатура,Аксесуари,Харків,Україна,70867,82,16673
2023-05-15,2023,2,5,Травень,Клавіатура,Аксесуари,Дніпро,Україна,41750,91,7828
2023-06-15,2023,2,6,Червень,Ноутбук,Комп'ютери,Київ,Україна,54911,33,15378
2023-06-15,2023,2,6,Червень,Ноутбук,Комп'ютери,Львів,Україна,52479,46,9750
2023-06-15,2023,2,6,Червень,Ноутбук,Комп'ютери,Одеса,Україна,40150,22,10478
2023-06-15,2023,2,6,Червень,Ноутбук,Комп'ютери,Харків,Україна,88450,39,25242
2023-06-15,2023,2,6,Червень,Ноутбук,Комп'ютери,Дніпро,Україна,34397,93,9423
2023-06-15,2023,2,6,Червень,Смартфон,Мобільні,Київ,Україна,70517,22,20049
2023-06-15,2023,2,6,Червень,Смартфон,Мобільні,Львів,Україна,67280,21,19765
2023-06-15,2023,2,6,Червень,Смартфон,Мобільні,Одеса,Україна,44466,85,9037
2023-06-15,2023,2,6,Червень,Смартфон,Мобільні,Харків,Україна,79163,87,19910
2023-06-15,2023,2,6,Червень,Смартфон,Мобільні,Дніпро,Україна,52307,92,11714
2023-06-15,2023,2,6,Червень,Планшет,Мобільні,Київ,Україна,28335,78,5496
2023-06-15,2023,2,6,Червень,Планшет,Мобільні,Львів,Україна,31130,94,8182
2023-06-15,2023,2,6,Червень,Планшет,Мобільні,Одеса,Україна,80566,25,21627
2023-06-15,2023,2,6,Червень,Планшет,Мобільні,Харків,Україна,41545,67,6590
2023-06-15,2023,2,6,Червень,Планшет,Мобільні,Дніпро,Україна,29348,44,8310
2023-06-15,2023,2,6,Червень,Навушники,Аксесуари,Київ,Україна,26801,85,6786
2023-06-15,2023,2,6,Червень,Навушники,Аксесуари,Львів,Україна,92592,16,19806
2023-06-15,2023,2,6,Червень,Навушники,Аксесуари,Одеса,Україна,70343,51,14736
2023-06-15,2023,2,6,Червень,Навушники,Аксесуари,Харків,Україна,39065,75,6336
2023-06-15,2023,2,6,Червень,Навушники,Аксесуари,Дніпро,Україна,74693,92,17716
2023-06-15,2023,2,6,Червень,Монітор,Комп'ютери,Київ,Україна,62348,74,17585
2023-06-15,2023,2,6,Червень,Монітор,Комп'ютери,Львів,Україна,77854,80,23192
2023-06-15,2023,2,6,Червень,Монітор,Комп'ютери,Одеса,Україна,55909,40,12425
2023-06-15,2023,2,6,Червень,Монітор,Комп'ютери,Харків,Україна,46790,83,13379
2023-06-15,2023,2,6,Червень,Монітор,Комп'ютери,Дніпро,Україна,35485,76,6673
2023-06-15,2023,2,6,Червень,Клавіатура,Аксесуари,Київ,Україна,29435,67,7686
2023-06-15,2023,2,6,Червень,Клавіатура,Аксесуари,Львів,Україна,77799,70,21271
2023-06-15,2023,2,6,Червень,Клавіатура,Аксесуари,Одеса,Україна,62918,10,15865
2023-06-15,2023,2,6,Червень,Клавіатура,Аксесуари,Харків,Україна,81629,72,18093
2023-06-15,2023,2,6,Червень,Клавіатура,Аксесуари,Дніпро,Україна,43960,65,10078
2023-07-15,2023,3,7,Липень,Ноутбук,Комп'ютери,Київ,Україна,78876,53,23401
2023-07-15,2023,3,7,Липень,Ноутбук,Комп'ютери,Львів,Україна,38430,70,7624
2023-07-15,2023,3,7,Липень,Ноутбук,Комп'ютери,Одеса,Україна,36503,94,10912
2023-07-15,2023,3,7,Липень,Ноутбук,Комп'ютери,Харків,Україна,37558,45,8753
2023-07-15,2023,3,7,Липень,Ноутбук,Комп'ютери,Дніпро,Україна,30458,66,6958
2023-07-15,2023,3,7,Липень,Смартфон,Мобільні,Київ,Україна,33876,58,8616
2023-07-15,2023,3,7,Липень,Смартфон,Мобільні,Львів,Україна,65374,10,15959
2023-07-15,2023,3,7,Липень,Смартфон,Мобільні,Одеса,Україна,79979,25,20839
2023-07-15,2023,3,7,Липень,Смартфон,Мобільні,Харків,Україна,24402,21,7169
2023-07-15,2023,3,7,Липень,Смартфон,Мобільні,Дніпро,Україна,27920,81,5840
2023-07-15,2023,3,7,Липень,Планшет,Мобільні,Київ,Україна,39563,37,7926
2023-07-15,2023,3,7,Липень,Планшет,Мобільні,Львів,Україна,26403,45,5796
2023-07-15,2023,3,7,Липень,Планшет,Мобільні,Одеса,Україна,46728,37,7554
2023-07-15,2023,3,7,Липень,Планшет,Мобільні,Харків,Україна,22351,73,4872
2023-07-15,2023,3,7,Липень,Планшет,Мобільні,Дніпро,Україна,52279,42,11066
2023-07-15,2023,3,7,Липень,Навушники,Аксесуари,Київ,Україна,49992,38,8497
2023-07-15,2023,3,7,Липень,Навушники,Аксесуари,Львів,Україна,58900,91,12516
2023-07-15,2023,3,7,Липень,Навушники,Аксесуари,Одеса,Україна,81306,56,23406
2023-07-15,2023,3,7,Липень,Навушники,Аксесуари,Харків,Україна,76990,65,21672
2023-07-15,2023,3,7,Липень,Навушники,Аксесуари,Дніпро,Україна,68913,14,10609
2023-07-15,2023,3,7,Липень,Монітор,Комп'ютери,Київ,Україна,73631,74,16350
2023-07-15,2023,3,7,Липень,Монітор,Комп'ютери,Львів,Україна,74062,35,15340
2023-07-15,2023,3,7,Липень,Монітор,Комп'ютери,Одеса,Україна,36278,68,10024
2023-07-15,2023,3,7,Липень,Монітор,Комп'ютери,Харків,Україна,59886,42,13193
2023-07-15,2023,3,7,Липень,Монітор,Комп'ютери,Дніпро,Україна,25831,10,3927
2023-07-15,2023,3,7,Липень,Клавіатура,Аксесуари,Київ,Україна,61133,15,15512
2023-07-15,2023,3,7,Липень,Клавіатура,Аксесуари,Львів,Україна,72090,14,21590
2023-07-15,2023,3,7,Липень,Клавіатура,Аксесуари,Одеса,Україна,63550,32,16862
2023-07-15,2023,3,7,Липень,Клавіатура,Аксесуари,Харків,Україна,27824,83,7719
2023-07-15,2023,3,7,Липень,Клавіатура,Аксесуари,Дніпро,Україна,30110,94,6551
2023-08-15,2023,3,8,Серпень,Ноутбук,Комп'ютери,Київ,Україна,48586,10,14240
2023-08-15,2023,3,8,Серпень,Ноутбук,Комп'ютери,Львів,Україна,30674,13,5653
2023-08-15,2023,3,8,Серпень,Ноутбук,Комп'ютери,Одеса,Україна,47742,41,7497
2023-08-15,2023,3,8,Серпень,Ноутбук,Комп'ютери,Харків,Україна,22521,48,5646
2023-08-15,2023,3,8,Серпень,Ноутбук,Комп'ютери,Дніпро,Україна,64504,63,17148
2023-08-15,2023,3,8,Серпень,Смартфон,Мобільні,Київ,Україна,43033,21,11724
2023-08-15,2023,3,8,Серпень,Смартфон,Мобільні,Львів,Україна,77688,14,12683
2023-08-15,2023,3,8,Серпень,Смартфон,Мобільні,Одеса,Україна,47644,66,11362
2023-08-15,2023,3,8,Серпень,Смартфон,Мобільні,Харків,Україна,32408,56,6905
2023-08-15,2023,3,8,Серпень,Смартфон,Мобільні,Дніпро,Україна,17571,94,4320
2023-08-15,2023,3,8,Серпень,Планшет,Мобільні,Київ,Україна,60919,47,14778
2023-08-15,2023,3,8,Серпень,Планшет,Мобільні,Львів,Україна,22281,59,5313
2023-08-15,2023,3,8,Серпень,Планшет,Мобільні,Одеса,Україна,22274,88,4802
2023-08-15,2023,3,8,Серпень,Планшет,Мобільні,Харків,Україна,67702,61,15714
2023-08-15,2023,3,8,Серпень,Планшет,Мобільні,Дніпро,Україна,63497,97,18196
2023-08-15,2023,3,8,Серпень,Навушники,Аксесуари,Київ,Україна,74554,60,18984
2023-08-15,2023,3,8,Серпень,Навушники,Аксесуари,Львів,Україна,49451,19,14290
2023-08-15,2023,3,8,Серпень,Навушники,Аксесуари,Одеса,Україна,33041,93,7231
2023-08-15,2023,3,8,Серпень,Навушники,Аксесуари,Харків,Україна,77286,62,15620
2023-08-15,2023,3,8,Серпень,Навушники,Аксесуари,Дніпро,Україна,46785,52,8703
2023-08-15,2023,3,8,Серпень,Монітор,Комп'ютери,Київ,Україна,21706,32,3672
2023-08-15,2023,3,8,Серпень,Монітор,Комп'ютери,Львів,Україна,75878,84,12961
2023-08-15,2023,3,8,Серпень,Монітор,Комп'ютери,Одеса,Україна,36437,13,6459
2023-08-15,2023,3,8,Серпень,Монітор,Комп'ютери,Харків,Україна,50632,76,14235
2023-08-15,2023,3,8,Серпень,Монітор,Комп'ютери,Дніпро,Україна,44178,41,7768
2023-08-15,2023,3,8,Серпень,Клавіатура,Аксесуари,Київ,Україна,25890,28,7074
2023-08-15,2023,3,8,Серпень,Клавіатура,Аксесуари,Львів,Україна,46852,31,7651
2023-08-15,2023,3,8,Серпень,Клавіатура,Аксесуари,Одеса,Україна,30514,99,8670
2023-08-15,2023,3,8,Серпень,Клавіатура,Аксесуари,Харків,Україна,36068,35,9735
2023-08-15,2023,3,8,Серпень,Клавіатура,Аксесуари,Дніпро,Україна,20868,95,3386
2023-09-15,2023,3,9,Вересень,Ноутбук,Комп'ютери,Київ,Україна,60516,72,12502
2023-09-15,2023,3,9,Вересень,Ноутбук,Комп'ютери,Львів,Україна,19545,35,5477
2023-09-15,2023,3,9,Вересень,Ноутбук,Комп'ютери,Одеса,Україна,63519,61,11522
2023-09-15,2023,3,9,Вересень,Ноутбук,Комп'ютери,Харків,Україна,16044,95,2974
2023-09-15,2023,3,9,Вересень,Ноутбук,Комп'ютери,Дніпро,Україна,38959,96,8948
2023-09-15,2023,3,9,Вересень,Смартфон,Мобільні,Київ,Україна,29398,35,4571
2023-09-15,2023,3,9,Вересень,Смартфон,Мобільні,Львів,Україна,20100,12,5714
2023-09-15,2023,3,9,Вересень,Смартфон,Мобільні,Одеса,Україна,60526,27,13140
2023-09-15,2023,3,9,Вересень,Смартфон,Мобільні,Харків,Україна,43739,24,7248
2023-09-15,2023,3,9,Вересень,Смартфон,Мобільні,Дніпро,Україна,46814,37,7163
2023-09-15,2023,3,9,Вересень,Планшет,Мобільні,Київ,Україна,56358,95,11222
2023-09-15,2023,3,9,Вересень,Планшет,Мобільні,Львів,Україна,54332,34,15407
2023-09-15,2023,3,9,Вересень,Планшет,Мобільні,Одеса,Україна,20934,77,4255
2023-09-15,2023,3,9,Вересень,Планшет,Мобільні,Харків,Україна,37387,95,8899
2023-09-15,2023,3,9,Вересень,Планшет,Мобільні,Дніпро,Україна,74783,49,16059
2023-09-15,2023,3,9,Вересень,Навушники,Аксесуари,Київ,Україна,73819,51,14215
2023-09-15,2023,3,9,Вересень,Навушники,Аксесуари,Львів,Україна,66384,61,16389
2023-09-15,2023,3,9,Вересень,Навушники,Аксесуари,Одеса,Україна,43623,68,8873
2023-09-15,2023,3,9,Вересень,Навушники,Аксесуари,Харків,Україна,29808,79,7179
2023-09-15,2023,3,9,Вересень,Навушники,Аксесуари,Дніпро,Україна,62924,62,10399
2023-09-15,2023,3,9,Вересень,Монітор,Комп'ютери,Київ,Україна,17284,13,4798
2023-09-15,2023,3,9,Вересень,Монітор,Комп'ютери,Львів,Україна,76900,33,21879
2023-09-15,2023,3,9,Вересень,Монітор,Комп'ютери,Одеса,Україна,26436,12,6045
2023-09-15,2023,3,9,Вересень,Монітор,Комп'ютери,Харків,Україна,19459,45,5829
2023-09-15,2023,3,9,Вересень,Монітор,Комп'ютери,Дніпро,Україна,29111,75,6881
2023-09-15,2023,3,9,Вересень,Клавіатура,Аксесуари,Київ,Україна,38996,13,5880
2023-09-15,2023,3,9,Вересень,Клавіатура,Аксесуари,Львів,Україна,16093,60,4395
2023-09-15,2023,3,9,Вересень,Клавіатура,Аксесуари,Одеса,Україна,58752,88,13527
2023-09-15,2023,3,9,Вересень,Клавіатура,Аксесуари,Харків,Україна,53211,54,14123
2023-09-15,2023,3,9,Вересень,Клавіатура,Аксесуари,Дніпро,Україна,21175,35,4204
2023-10-15,2023,4,10,Жовтень,Ноутбук,Комп'ютери,Київ,Україна,64545,29,12028
2023-10-15,2023,4,10,Жовтень,Ноутбук,Комп'ютери,Львів,Україна,72414,99,19201
2023-10-15,2023,4,10,Жовтень,Ноутбук,Комп'ютери,Одеса,Україна,51701,46,11680
2023-10-15,2023,4,10,Жовтень,Ноутбук,Комп'ютери,Харків,Україна,43203,86,9931
2023-10-15,2023,4,10,Жовтень,Ноутбук,Комп'ютери,Дніпро,Україна,33177,15,6651
2023-10-15,2023,4,10,Жовтень,Смартфон,Мобільні,Київ,Україна,70728,14,11281
2023-10-15,2023,4,10,Жовтень,Смартфон,Мобільні,Львів,Україна,18370,11,3643
2023-10-15,2023,4,10,Жовтень,Смартфон,Мобільні,Одеса,Україна,44966,74,7681
2023-10-15,2023,4,10,Жовтень,Смартфон,Мобільні,Харків,Україна,32423,18,7760
2023-10-15,2023,4,10,Жовтень,Смартфон,Мобільні,Дніпро,Україна,82486,47,17468
2023-10-15,2023,4,10,Жовтень,Планшет,Мобільні,Київ,Україна,51325,58,14248
2023-10-15,2023,4,10,Жовтень,Планшет,Мобільні,Львів,Україна,26638,59,4492
2023-10-15,2023,4,10,Жовтень,Планшет,Мобільні,Одеса,Україна,23619,84,6867
2023-10-15,2023,4,10,Жовтень,Планшет,Мобільні,Харків,Україна,77469,44,22386
2023-10-15,2023,4,10,Жовтень,Планшет,Мобільні,Дніпро,Україна,46431,31,7299
2023-10-15,2023,4,10,Жовтень,Навушники,Аксесуари,Київ,Україна,23156,20,6235
2023-10-15,2023,4,10,Жовтень,Навушники,Аксесуари,Львів,Україна,41772,39,11435
2023-10-15,2023,4,10,Жовтень,Навушники,Аксесуари,Одеса,Україна,29371,14,5444
2023-10-15,2023,4,10,Жовтень,Навушники,Аксесуари,Харків,Україна,16599,35,4750
